ApprovalDate,ApprovalFY,NoEmp,CreateJob,RetainedJob,DisbursementDate,DisbursementGross,Accept,NewExist_Binary,Franchise_Binary,UrbanRural_Binary,RevLineCr_Binary,LowDoc_Binary,ApprovalDate_quarter,DisbursementDate_quarter,Bank_Categorized,Bank_Categorized_cod,BankState_Categorized,BankState_Categorized_cod,ApprovalFY_Grouped,ApprovalFY_Grouped_cod,NoEmp_Grouped,NoEmp_Grouped_cod,CreateJob_Binary,RetainedJob_Binary,DisbursementGross_Grouped,DisbursementGross_Grouped_cod
3,2005,1,0,1,3,150000,1,0,0,1,0,0,1,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,75k-150k,2
8,2001,1,25,0,1,316000,1,0,1,1,0,0,3,1,Otros,8,OH,2,2000-2004,6,1-2,1,1,0,150k-500k,3
11,2011,0,0,0,12,34517,1,1,0,1,1,0,4,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,2010-2014,8,0,0,0,0,30k-75k,1
4,2008,4,2,4,4,120916,1,0,0,0,1,0,2,2,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,3-5,2,1,1,75k-150k,2
2,1999,12,7,12,3,346200,1,1,0,1,0,0,1,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,1995-1999,5,6-15,3,1,1,150k-500k,3
1,1997,2,0,0,12,50000,1,1,0,1,0,0,1,4,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1995-1999,5,1-2,1,0,0,30k-75k,1
2,1984,6,0,0,3,90000,0,1,0,1,0,0,1,1,Otros,8,OH,2,1980-1984,2,6-15,3,0,0,75k-150k,2
4,2007,25,5,25,8,100000,0,1,0,1,0,0,2,3,Otros,8,Otros,3,2005-2009,7,15+,4,1,1,75k-150k,2
11,1998,10,0,0,11,360000,1,1,0,1,0,0,4,4,Otros,8,OH,2,1995-1999,5,6-15,3,0,0,150k-500k,3
8,2006,3,1,3,4,16076,1,0,0,1,1,0,3,2,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,2005-2009,7,3-5,2,1,1,0-30k,0
5,2012,3,6,3,7,137500,1,0,0,1,1,0,2,3,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2010-2014,8,3-5,2,1,1,75k-150k,2
7,2005,9,0,9,8,945500,1,1,0,0,1,0,3,3,"FIRSTMERIT BANK, N.A.",4,OH,2,2005-2009,7,6-15,3,0,1,500k+,4
4,2006,5,1,5,5,50000,0,1,0,1,0,0,2,2,CAPITAL ONE NATL ASSOC,0,Otros,3,2005-2009,7,3-5,2,1,1,30k-75k,1
9,1989,10,0,0,1,200000,1,0,0,1,0,0,3,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1985-1989,3,6-15,3,0,0,150k-500k,3
9,1997,1,0,0,2,148000,1,0,0,1,0,0,3,1,"FIRSTMERIT BANK, N.A.",4,OH,2,1995-1999,5,1-2,1,0,0,75k-150k,2
11,1998,4,0,0,12,56385,1,1,0,1,1,0,4,4,"PNC BANK, NATIONAL ASSOCIATION",9,Otros,3,1995-1999,5,3-5,2,0,0,30k-75k,1
3,2005,11,0,11,4,119499,1,1,0,1,1,0,1,2,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,6-15,3,0,1,75k-150k,2
11,2001,92,0,0,12,115000,1,1,0,1,0,0,4,4,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2000-2004,6,15+,4,0,0,75k-150k,2
12,2000,80,80,80,12,685000,1,1,0,1,0,0,4,4,Otros,8,Otros,3,2000-2004,6,15+,4,1,1,500k+,4
2,1998,47,15,32,9,412000,1,1,0,1,0,0,1,3,Otros,8,OH,2,1995-1999,5,15+,4,1,1,150k-500k,3
3,2005,2,1,2,4,113400,1,1,0,0,0,0,1,2,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,1-2,1,1,1,75k-150k,2
11,2006,8,0,8,12,25000,0,1,0,1,0,0,4,4,Otros,8,Otros,3,2005-2009,7,6-15,3,0,1,0-30k,0
10,1996,23,0,0,1,100000,1,1,0,1,0,1,4,1,"FIRSTMERIT BANK, N.A.",4,OH,2,1995-1999,5,15+,4,0,0,75k-150k,2
6,2005,0,0,0,7,16671,0,0,0,0,1,0,2,3,"FIRSTMERIT BANK, N.A.",4,OH,2,2005-2009,7,0,0,0,0,0-30k,0
12,2000,42,0,0,12,450000,1,1,0,1,0,0,4,4,Otros,8,Otros,3,2000-2004,6,15+,4,0,0,150k-500k,3
8,1998,70,3,0,10,1515000,1,1,0,1,0,0,3,4,Otros,8,Otros,3,1995-1999,5,15+,4,1,0,500k+,4
5,1995,15,0,0,7,650000,0,1,0,1,1,0,2,3,KEYBANK NATIONAL ASSOCIATION,7,OH,2,1995-1999,5,6-15,3,0,0,500k+,4
1,2005,2,0,2,2,22996,0,1,0,1,1,0,1,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,0-30k,0
7,2000,10,8,10,9,170000,1,1,0,1,0,0,3,3,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2000-2004,6,6-15,3,1,1,150k-500k,3
11,2004,2,0,0,1,44500,0,1,0,0,0,1,4,1,Otros,8,OH,2,2000-2004,6,1-2,1,0,0,30k-75k,1
6,1996,2,0,0,10,65000,1,1,0,1,0,1,2,4,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1995-1999,5,1-2,1,0,0,30k-75k,1
9,2006,6,0,6,1,110767,1,1,0,1,1,0,3,1,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2005-2009,7,6-15,3,0,1,75k-150k,2
5,2002,4,0,4,6,20000,1,1,0,1,0,0,2,2,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2000-2004,6,3-5,2,0,1,0-30k,0
10,2006,80,25,80,11,150000,1,0,0,1,0,0,4,4,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2005-2009,7,15+,4,1,1,75k-150k,2
3,1993,5,0,0,4,180000,1,0,0,1,0,0,1,2,Otros,8,OH,2,1990-1994,4,3-5,2,0,0,150k-500k,3
2,1997,125,0,0,4,1000000,1,1,0,1,0,0,1,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,1995-1999,5,15+,4,0,0,500k+,4
3,2004,11,0,11,3,100900,1,1,0,0,0,0,1,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2000-2004,6,6-15,3,0,1,75k-150k,2
2,2006,1,0,0,6,25000,1,0,0,1,1,0,1,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,1-2,1,0,0,0-30k,0
2,1998,22,0,0,7,79000,1,1,0,1,0,1,1,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,1995-1999,5,15+,4,0,0,75k-150k,2
2,1996,29,5,24,8,338000,1,1,0,1,0,0,1,3,Otros,8,OH,2,1995-1999,5,15+,4,1,1,150k-500k,3
11,2006,3,2,3,2,30000,1,1,0,1,0,0,4,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2005-2009,7,3-5,2,1,1,0-30k,0
12,2007,0,0,0,12,44277,1,1,0,0,1,0,4,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,0,0,0,0,30k-75k,1
7,1996,1,0,0,9,14620,1,1,0,1,0,0,3,3,Otros,8,OH,2,1995-1999,5,1-2,1,0,0,0-30k,0
9,2009,8,3,8,10,35000,1,1,0,1,0,0,3,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,6-15,3,1,1,30k-75k,1
2,1984,8,0,0,12,69000,1,1,0,1,0,0,1,4,COMMUNITY CAP. DEVEL CORP,2,OH,2,1980-1984,2,6-15,3,0,0,30k-75k,1
9,1996,30,0,0,2,127000,1,0,1,1,0,0,3,1,Otros,8,Otros,3,1995-1999,5,15+,4,0,0,75k-150k,2
11,2006,3,0,3,11,116706,1,1,0,1,1,0,4,4,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2005-2009,7,3-5,2,0,1,75k-150k,2
6,2004,8,0,8,9,224750,1,1,0,1,1,0,2,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2000-2004,6,6-15,3,0,1,150k-500k,3
5,2007,1,0,1,5,10600,0,1,0,0,1,0,2,2,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,0,1,0-30k,0
9,2006,0,0,0,1,45000,1,1,0,0,1,0,3,1,"FIRSTMERIT BANK, N.A.",4,OH,2,2005-2009,7,0,0,0,0,30k-75k,1
8,2005,1,0,1,9,94944,0,1,0,1,1,0,3,3,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,1-2,1,0,1,75k-150k,2
3,1996,16,0,0,4,90000,1,1,0,1,0,1,1,2,KEYBANK NATIONAL ASSOCIATION,7,OH,2,1995-1999,5,15+,4,0,0,75k-150k,2
2,1997,3,0,0,3,41000,1,1,0,1,0,1,1,1,Otros,8,OH,2,1995-1999,5,3-5,2,0,0,30k-75k,1
3,2010,2,0,0,4,130000,1,1,0,1,0,0,1,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2010-2014,8,1-2,1,0,0,75k-150k,2
9,1994,26,4,22,4,131000,1,1,0,1,0,0,3,2,COMMUNITY CAP. DEVEL CORP,2,OH,2,1990-1994,4,15+,4,1,1,75k-150k,2
12,2007,3,0,3,2,25000,0,0,0,0,1,0,4,1,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,2005-2009,7,3-5,2,0,1,0-30k,0
5,1996,3,0,0,1,13900,1,0,0,1,0,1,2,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1995-1999,5,3-5,2,0,0,0-30k,0
4,2007,0,3,5,5,48111,0,0,0,1,1,0,2,2,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,2005-2009,7,0,0,1,1,30k-75k,1
10,2003,6,0,6,3,90800,1,1,0,0,0,0,4,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2000-2004,6,6-15,3,0,1,75k-150k,2
4,2007,28,3,28,5,1096000,1,1,0,0,0,0,2,2,Otros,8,OH,2,2005-2009,7,15+,4,1,1,500k+,4
8,2009,0,0,0,9,15200,1,1,0,1,0,0,3,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,0,0,0,0,0-30k,0
11,2004,20,0,0,3,305000,1,1,0,1,0,0,4,1,Otros,8,OH,2,2000-2004,6,15+,4,0,0,150k-500k,3
3,1996,1,0,0,4,26000,1,0,0,1,0,1,1,2,Otros,8,OH,2,1995-1999,5,1-2,1,0,0,0-30k,0
5,2007,12,0,12,5,54814,1,1,0,1,1,0,2,2,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,6-15,3,0,1,30k-75k,1
7,2008,0,0,0,7,38983,1,0,0,1,1,0,3,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,0,0,0,0,30k-75k,1
9,1993,25,0,0,10,695000,1,1,0,1,0,0,3,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,1990-1994,4,15+,4,0,0,500k+,4
6,2003,3,1,3,7,50000,0,1,0,1,1,0,2,3,"PNC BANK, NATIONAL ASSOCIATION",9,DE,0,2000-2004,6,3-5,2,1,1,30k-75k,1
4,1995,1,0,0,7,75000,1,1,0,1,0,1,2,3,Otros,8,OH,2,1995-1999,5,1-2,1,0,0,30k-75k,1
8,2009,13,0,13,5,25000,1,0,0,1,1,0,3,2,U.S. BANK NATIONAL ASSOCIATION,11,OH,2,2005-2009,7,6-15,3,0,1,0-30k,0
6,2000,3,1,4,8,37000,1,1,0,1,0,0,2,3,KEYBANK NATIONAL ASSOCIATION,7,OH,2,2000-2004,6,3-5,2,1,1,30k-75k,1
11,1995,1,0,0,1,21600,1,1,0,1,0,1,4,1,KEYBANK NATIONAL ASSOCIATION,7,OH,2,1995-1999,5,1-2,1,0,0,0-30k,0
8,2006,9,1,9,8,213584,0,1,0,1,1,0,3,3,Otros,8,Otros,3,2005-2009,7,6-15,3,1,1,150k-500k,3
6,1989,6,0,0,7,225000,1,1,0,1,0,0,2,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,1985-1989,3,6-15,3,0,0,150k-500k,3
3,2000,13,0,5,6,142000,1,1,0,1,0,0,1,2,COMMUNITY CAP. DEVEL CORP,2,OH,2,2000-2004,6,6-15,3,0,1,75k-150k,2
12,2010,1,0,1,2,35000,1,1,1,0,0,0,4,1,Otros,8,OH,2,2010-2014,8,1-2,1,0,1,30k-75k,1
5,2004,2,1,2,9,40754,1,0,0,1,1,0,2,3,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2000-2004,6,1-2,1,1,1,30k-75k,1
9,1999,30,30,30,1,255000,1,1,0,0,0,0,3,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,1995-1999,5,15+,4,1,1,150k-500k,3
2,1998,20,0,0,6,1700000,1,1,0,1,0,0,1,2,Otros,8,Otros,3,1995-1999,5,15+,4,0,0,500k+,4
3,2005,1,1,2,12,42000,1,1,0,1,1,0,1,4,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,1,1,30k-75k,1
12,2004,3,0,3,1,300000,1,1,0,1,0,0,4,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2000-2004,6,3-5,2,0,1,150k-500k,3
11,2006,12,3,15,12,100000,0,1,0,1,1,0,4,4,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,6-15,3,1,1,75k-150k,2
9,1998,14,0,0,1,319400,1,1,0,1,0,0,3,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1995-1999,5,6-15,3,0,0,150k-500k,3
8,2002,30,0,30,9,366000,1,1,1,1,0,0,3,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2000-2004,6,15+,4,0,1,150k-500k,3
3,2000,6,0,0,5,150000,1,1,0,0,0,1,1,2,Otros,8,OH,2,2000-2004,6,6-15,3,0,0,75k-150k,2
9,2009,12,5,12,10,35000,1,1,0,0,0,0,3,4,Otros,8,OH,2,2005-2009,7,6-15,3,1,1,30k-75k,1
8,2006,2,1,3,9,20000,1,1,0,1,0,0,3,3,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,1,1,0-30k,0
12,1995,112,12,100,4,412000,1,1,0,1,0,0,4,2,COMMUNITY CAP. DEVEL CORP,2,OH,2,1995-1999,5,15+,4,1,1,150k-500k,3
3,1995,1,0,0,4,20000,1,1,0,1,0,1,1,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,1995-1999,5,1-2,1,0,0,0-30k,0
5,2000,5,0,0,7,80000,1,1,0,0,0,1,2,3,"PNC BANK, NATIONAL ASSOCIATION",9,Otros,3,2000-2004,6,3-5,2,0,0,75k-150k,2
3,2005,5,1,5,4,50000,1,1,0,1,0,0,1,2,CAPITAL ONE NATL ASSOC,0,Otros,3,2005-2009,7,3-5,2,1,1,30k-75k,1
6,1995,1,0,0,1,100000,1,0,1,1,0,1,2,1,WELLS FARGO BANK NATL ASSOC,12,Otros,3,1995-1999,5,1-2,1,0,0,75k-150k,2
7,2008,35,35,0,6,50000,1,0,0,0,1,0,3,2,Otros,8,OH,2,2005-2009,7,15+,4,1,0,30k-75k,1
6,1996,7,4,3,9,126000,1,1,0,1,0,0,2,3,COMMUNITY CAP. DEVEL CORP,2,OH,2,1995-1999,5,6-15,3,1,1,75k-150k,2
5,1986,70,0,0,1,374000,1,1,0,1,0,0,2,1,Otros,8,OH,2,1985-1989,3,15+,4,0,0,150k-500k,3
6,2002,8,0,8,6,172000,1,1,0,1,0,0,2,2,KEYBANK NATIONAL ASSOCIATION,7,OH,2,2000-2004,6,6-15,3,0,1,150k-500k,3
9,1997,7,0,0,10,76474,1,0,0,1,0,0,3,4,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,1995-1999,5,6-15,3,0,0,75k-150k,2
1,1999,5,2,5,3,120157,1,1,0,1,1,0,1,1,FIFTH THIRD BANK,3,OH,2,1995-1999,5,3-5,2,1,1,75k-150k,2
3,2008,26,0,26,3,1148000,1,1,0,1,0,0,1,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,15+,4,0,1,500k+,4
6,1987,3,0,0,9,25000,0,0,0,1,0,0,2,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,1985-1989,3,3-5,2,0,0,0-30k,0
5,2006,4,2,4,7,30119,1,0,0,0,1,0,2,3,"FIRSTMERIT BANK, N.A.",4,OH,2,2005-2009,7,3-5,2,1,1,30k-75k,1
5,1994,7,0,0,7,124000,1,1,0,1,0,0,2,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,1990-1994,4,6-15,3,0,0,75k-150k,2
4,2006,3,1,0,4,57682,1,1,0,1,1,0,2,2,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,3-5,2,1,0,30k-75k,1
4,2005,1,0,1,4,25000,0,1,0,1,0,0,2,2,Otros,8,Otros,3,2005-2009,7,1-2,1,0,1,0-30k,0
10,2007,1,0,1,10,86056,1,0,0,1,1,0,4,4,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,1-2,1,0,1,75k-150k,2
7,2003,15,4,0,11,134000,1,1,0,1,0,0,3,4,Otros,8,OH,2,2000-2004,6,6-15,3,1,0,75k-150k,2
2,2005,2,0,2,3,355000,0,0,0,1,0,0,1,1,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,1-2,1,0,1,150k-500k,3
3,2001,1,3,1,3,13000,1,0,0,1,0,0,1,1,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,2000-2004,6,1-2,1,1,1,0-30k,0
12,1997,38,0,0,12,80000,1,1,1,1,0,1,4,4,"PNC BANK, NATIONAL ASSOCIATION",9,OH,2,1995-1999,5,15+,4,0,0,75k-150k,2
8,2008,0,20,0,8,325500,1,0,0,1,0,0,3,3,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2005-2009,7,0,0,1,0,150k-500k,3
9,2008,0,0,0,9,10000,1,1,0,0,0,0,3,3,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,0,0,0,0,0-30k,0
10,2008,2,0,0,10,31751,0,1,0,0,1,0,4,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,2005-2009,7,1-2,1,0,0,30k-75k,1
4,2003,8,0,0,5,220000,1,1,0,1,0,0,2,2,Otros,8,OH,2,2000-2004,6,6-15,3,0,0,150k-500k,3
3,2005,2,1,3,2,5000,1,1,0,1,1,0,1,1,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,1,1,0-30k,0
7,2004,3,0,0,10,63750,1,0,1,1,0,1,3,4,Otros,8,OH,2,2000-2004,6,3-5,2,0,0,30k-75k,1
8,1993,35,0,0,10,360000,1,1,0,1,0,0,3,4,THE HUNTINGTON NATIONAL BANK,10,OH,2,1990-1994,4,15+,4,0,0,150k-500k,3
5,1991,7,0,0,10,244800,1,0,1,1,0,0,2,4,Otros,8,OH,2,1990-1994,4,6-15,3,0,0,150k-500k,3
11,2008,1,2,3,12,27799,1,1,0,1,1,0,4,4,CITIZENS BANK NATL ASSOC,1,RI,4,2005-2009,7,1-2,1,1,1,0-30k,0
3,2008,9,0,9,4,157300,1,1,0,1,0,0,1,2,FIFTH THIRD BANK,3,OH,2,2005-2009,7,6-15,3,0,1,150k-500k,3
6,1994,41,0,0,10,375000,1,1,0,1,0,0,2,4,KEYBANK NATIONAL ASSOCIATION,7,OH,2,1990-1994,4,15+,4,0,0,150k-500k,3
11,1993,14,0,0,1,186238,1,1,0,1,0,0,4,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,1990-1994,4,6-15,3,0,0,150k-500k,3
12,2004,3,0,3,1,59141,0,1,0,0,1,0,4,1,JPMORGAN CHASE BANK NATL ASSOC,6,IL,1,2000-2004,6,3-5,2,0,1,30k-75k,1
